molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL1256915,CN1CC[C@@]2(C)c3cc(O)ccc3N(C)[C@@H]12.O=C(O)/C=C/C(=O)O,1990.0,intermediate
CHEMBL3545085,CC(C)c1cc(CNc2nc(Nc3cc(C4CC4)[nH]n3)cc(N3CCN(C)CC3)n2)on1,1490.0,intermediate
CHEMBL403183,Cc1ccc(S(=O)(=O)/C=C/C#N)cc1,820.0,active
CHEMBL1200471,[O-][n+]1ccccc1[S-].[O-][n+]1ccccc1[S-].[Zn+2],2460.0,intermediate
CHEMBL3747259,O=C(/C=C/c1ccc(O)c2c1[C@@H](C(=O)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O)[C@H](c1ccc(O)c(O)c1)O2)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,3420.0,intermediate
CHEMBL324842,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,3860.0,intermediate
CHEMBL1380480,COc1cc(C(=S)N2CCOCC2)ccc1O,1320.0,intermediate
CHEMBL1161936,O=C(O)c1ccc(SSc2ccc(C(=O)O)cn2)nc1,240.0,active
CHEMBL120563,CN(C)C(=S)SSC(=S)N(C)C,50.0,active
CHEMBL51085,O=c1c2ccccc2[se]n1-c1ccccc1,30.0,active
CHEMBL1188627,C/N=c1/nc(-c2ccccc2)n(-c2ccccc2)s1,980.0,active
CHEMBL4303331,C[C@@H]1O[C@@H](Oc2c(-c3cc(O)c(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@@H](O)[C@H](O)[C@H]1O,3660.0,intermediate
CHEMBL1256832,Cl.Oc1cc2c(cc1O)[C@H]1c3ccccc3CN[C@@H]1CC2,1050.0,intermediate
CHEMBL510038,Nc1nnc(Sc2ncc([N+](=O)[O-])s2)s1,30.0,active
CHEMBL964,CCN(CC)C(=S)SSC(=S)N(CC)CC,220.0,active
CHEMBL1474701,O=C1C=CC(=O)C2=C1C1c3ccccc3C2c2ccccc21,240.0,active
CHEMBL1408862,O=[N+]([O-])C(Br)(CO)CO,420.0,active
CHEMBL929,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1.CS(=O)(=O)O,3990.0,intermediate
CHEMBL444478,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,4540.0,intermediate
CHEMBL571700,CN(C)C(=S)SC(=S)N(C)C,940.0,active
CHEMBL472940,Oc1ccc2ccccc2c1SSc1c(O)ccc2ccccc12,510.0,active
