,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
2071,CHEMBL5441882,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cn(C)nc3C#N)cc12)c1ccc2c(c1)OCCO2,active,429.48400000000026,3.8104800000000028,2.0,8.0,6.059981844992337
2073,CHEMBL5441812,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccnc(N4CCCC4)c3)cc12)c1ccc2c(c1)OCCO2,inactive,470.5770000000004,5.200500000000004,2.0,7.0,4.78012743667646
2078,CHEMBL5442039,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccc4[nH]ncc4c3)cc12)c1ccc2c(c1)OCCO2,inactive,440.5070000000003,5.0816000000000034,3.0,6.0,4.689221748387465
2079,CHEMBL5441657,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cccc(CN4CCCS4(=O)=O)c3)cc12)c1ccc2c(c1)OCCO2,inactive,533.6540000000003,4.740800000000004,2.0,7.0,4.002176919254275
2082,CHEMBL5441573,CNCc1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)OCCO5)C(C)C)ncnc3[nH]2)co1,active,433.51200000000017,4.517700000000003,3.0,7.0,6.55129368009492
2083,CHEMBL5441866,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cc4c(C#N)cccc4[nH]3)cc12)c1ccc2c(c1)OCCO2,inactive,464.5290000000003,5.558280000000003,3.0,6.0,4.002176919254275
2088,CHEMBL5442018,Cc1cn(C)nc1-c1cc2c(N[C@@H](c3ccc4c(c3)OCCO4)C(C)C)ncnc2[nH]1,inactive,418.5010000000002,4.247220000000002,2.0,7.0,4.002176919254275
2091,CHEMBL5441723,Cc1ccoc1-c1cc2c(N[C@@H](c3ccc4c(c3)OCCO4)C(C)C)ncnc2[nH]1,inactive,404.4700000000002,5.106720000000004,2.0,6.0,4.357060884156251
2094,CHEMBL5441530,CC(C)[C@@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)N(C)C(=O)CO2,inactive,351.41000000000014,3.122300000000002,2.0,5.0,4.1692125122974355
2098,CHEMBL5441766,Cc1c(-c2cc3c(N[C@@H](c4ccc5c(c4)OCCO5)C(C)C)ncnc3[nH]2)cnn1C,active,418.50100000000003,4.247220000000002,2.0,7.0,6.1944991418416
2100,CHEMBL5441851,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cn[nH]c3)cc12)c1ccc2c(c1)OCCO2,active,390.44700000000023,3.9284000000000017,3.0,6.0,6.146910470148135
2102,CHEMBL5441526,CNC(=O)Cn1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)OCCO5)C(C)C)ncnc3[nH]2)cn1,active,461.52600000000024,3.147800000000001,3.0,8.0,6.614393726401688
2103,CHEMBL5441589,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(-c4ccc(F)cc4)c3)cc12)c1ccc2c(c1)OCCO2,inactive,484.5350000000003,5.5301000000000045,2.0,7.0,4.562693468675727
2104,CHEMBL5442120,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC4(C#N)CC4)c3)cc12)c1ccc2c(c1)OCCO2,active,469.5490000000003,4.705580000000003,2.0,8.0,6.375717904164332
2105,CHEMBL5441874,Cc1ncc(-c2cc3c(N[C@@H](c4ccc5c(c4)OCCO5)C(C)C)ncnc3[nH]2)n1C,active,418.50100000000015,4.247220000000002,2.0,7.0,6.17134010346468
2106,CHEMBL5441724,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cncc(C(=O)N(C)C)c3)cc12)c1ccc2c(c1)OCCO2,active,472.5490000000003,4.302100000000003,2.0,7.0,6.127261172527331
2108,CHEMBL5441869,CNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)NC(=O)CO4)C(C)C)ncnc2[nH]1,active,394.4350000000001,2.4576000000000002,4.0,6.0,6.785156151952302
2110,CHEMBL5441980,COCCn1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)OCCO5)C(C)C)ncnc3[nH]2)c(C#N)n1,active,473.53700000000026,3.9198800000000027,2.0,9.0,6.170053304058364
2112,CHEMBL5441653,Cc1nnn(C)c1-c1cc2c(N[C@@H](c3ccc4c(c3)OCCO4)C(C)C)ncnc2[nH]1,inactive,419.4890000000002,3.642220000000002,2.0,8.0,4.994690763151484
2113,CHEMBL5441652,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(c1)NC(=O)CO2,active,442.48300000000023,3.3701800000000013,3.0,8.0,6.671620396561262
2114,CHEMBL5442152,Cc1nn(CC(N)=O)cc1-c1cc2c(N[C@@H](c3ccc4c(c3)OCCO4)C(C)C)ncnc2[nH]1,active,461.5260000000003,3.195520000000001,3.0,8.0,6.481486060122113
2115,CHEMBL5441472,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cc(-c4ccccc4)n[nH]3)cc12)c1ccc2c(c1)OCCO2,inactive,466.54500000000024,5.595400000000003,3.0,6.0,4.002176919254275
2118,CHEMBL5441539,CC(C)(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(c1)OCCO2,active,461.5260000000003,3.2772000000000014,3.0,8.0,6.549750891680639
2119,CHEMBL5441752,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cccc(Cn4ccnc4)c3)cc12)c1ccc2c(c1)OCCO2,inactive,480.5720000000003,5.450100000000005,2.0,7.0,4.002176919254275
2120,CHEMBL5441548,CC(C)[C@@H](Nc1ncnc2[nH]ccc12)c1ccc2cn[nH]c2c1,inactive,306.37300000000005,3.6434000000000015,3.0,4.0,4.002176919254275
2121,CHEMBL5442051,Cc1nn(C)cc1-c1cc2c(N[C@@H](c3ccc4c(c3)OCCO4)C(C)C)ncnc2[nH]1,active,418.5010000000002,4.247220000000002,2.0,7.0,6.386158178123931
2124,CHEMBL5441749,CCn1nccc1-c1cc2c(N[C@@H](c3ccc4c(c3)OCCO4)C(C)C)ncnc2[nH]1,active,418.5010000000002,4.421700000000002,2.0,7.0,6.049635145623877
2125,CHEMBL5441580,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccnn3C)cc12)c1ccc2c(c1)OCCO2,active,404.4740000000003,3.9388000000000023,2.0,7.0,6.1555228242543185
2126,CHEMBL5441620,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3)cc12)c1ccc2c(c1)OCCO2,active,404.4740000000003,3.9388000000000023,2.0,7.0,6.269217724333611
2127,CHEMBL5442015,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C(C)C)c3)cc12)c1ccc2c(c1)OCCO2,active,432.5280000000003,4.982700000000004,2.0,7.0,6.120904120499927
2128,CHEMBL5441634,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C4CC4)c3)cc12)c1ccc2c(c1)OCCO2,active,430.5120000000003,4.7367000000000035,2.0,7.0,6.000869458712629
2129,CHEMBL5441988,CNC(=O)c1cccc(-c2cc3c(N[C@@H](c4ccc5c(c4)OCCO5)C(C)C)ncnc3[nH]2)c1,active,457.5340000000002,4.564900000000002,3.0,6.0,6.380906669373258
2134,CHEMBL5441942,Cc1ccc(-c2cc3c(N[C@@H](c4ccc5c(c4)OCCO5)C(C)C)ncnc3[nH]2)o1,inactive,404.47000000000014,5.106720000000003,2.0,6.0,4.391944885617346
2135,CHEMBL5442006,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccc(CC#N)cc3)cc12)c1ccc2c(c1)OCCO2,inactive,439.51900000000023,5.271380000000004,2.0,6.0,4.577656428644997
2137,CHEMBL5442036,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(n1)NC(=O)CO2,active,461.4860000000003,1.8417999999999994,4.0,9.0,6.6020599913279625
2138,CHEMBL5441959,CC(C)[C@@H](Nc1ncnc2[nH]c(C3=CCCN(C(=O)OCc4ccccc4)C3)cc12)c1ccc2c(c1)OCCO2,inactive,539.6360000000003,5.964200000000005,2.0,7.0,4.002176919254275
2139,CHEMBL5441764,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn([C@@H](C)C(N)=O)c3)cc12)c1ccc2c(c1)OCCO2,active,461.52600000000035,3.448100000000001,3.0,8.0,6.374687549038326
2142,CHEMBL5441823,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(c1)NC(=O)CO2,active,460.4980000000003,2.4467999999999996,4.0,8.0,6.692503962086787
2146,CHEMBL5441839,CC(C)[C@@H](Nc1cc(C(N)=O)ccn1)c1ccc2c(c1)S(=O)(=O)CCC2,inactive,373.4780000000001,2.709600000000001,2.0,5.0,4.002176919254275
2147,CHEMBL5441682,CNC(=O)c1c[nH]c2ncnc(N[C@@H](c3ccc4c(c3)NC(=O)CO4)C(C)C)c12,active,394.4350000000002,2.4576000000000002,4.0,6.0,6.51427857351842
2148,CHEMBL5441830,Cc1n[nH]c(C)c1-c1cc2c(N[C@@H](c3ccc4c(c3)OCCO4)C(C)C)ncnc2[nH]1,inactive,418.5010000000002,4.545240000000002,3.0,6.0,4.49850255438586
